iter	MultiClass
0	1.093283876
1	1.088347994
2	1.083744006
3	1.079435763
4	1.075371698
5	1.071627171
6	1.068094021
7	1.064805818
8	1.061765487
9	1.058855237
10	1.056101091
11	1.053513144
12	1.051109331
13	1.048746064
14	1.046558172
15	1.04448433
16	1.042543714
17	1.040763494
18	1.039065819
19	1.037477657
20	1.035964129
21	1.034498709
22	1.033123523
23	1.031815448
24	1.030649688
25	1.029469789
26	1.028396462
27	1.027337124
28	1.026366384
29	1.025443117
30	1.024568833
31	1.023711279
32	1.022871774
33	1.022108097
34	1.021412945
35	1.020706794
36	1.020042977
37	1.019412208
38	1.01884201
39	1.018281107
40	1.017779107
41	1.017291818
42	1.016814011
43	1.016345339
44	1.015943319
45	1.015549253
46	1.015186952
47	1.01483947
48	1.014499399
49	1.014147003
50	1.013839892
51	1.013526161
52	1.013262347
53	1.012983154
54	1.012711364
55	1.012445408
56	1.012191966
57	1.011956117
58	1.011762571
59	1.01156075
60	1.011358739
61	1.011159667
62	1.010989449
63	1.010834068
64	1.010685419
65	1.010528311
66	1.01038441
67	1.010233584
68	1.010088402
69	1.009950069
70	1.009817286
71	1.009697817
72	1.009591008
73	1.009478559
74	1.009373487
75	1.009276175
76	1.00916247
77	1.00906787
78	1.008973984
79	1.008885775
80	1.0087989
81	1.008722225
82	1.008640631
83	1.008563906
84	1.008499806
85	1.008418335
86	1.008328796
87	1.008258092
88	1.008188099
89	1.008159196
90	1.00809557
91	1.008025862
92	1.007965718
93	1.007915538
94	1.007861044
95	1.007809356
96	1.007755644
97	1.007703579
98	1.007654482
99	1.007620452
100	1.00757283
101	1.007522123
102	1.00746264
103	1.007414418
104	1.007380839
105	1.00734239
106	1.00731381
107	1.007277492
108	1.007246393
109	1.007189838
110	1.007159648
111	1.007101472
112	1.007051436
113	1.006996605
114	1.006940099
115	1.006887557
116	1.006847875
117	1.00680721
118	1.006753517
119	1.006715234
120	1.006672037
121	1.00662395
122	1.006582802
123	1.006543613
124	1.0065133
125	1.006485492
126	1.006438848
127	1.006412176
128	1.006372598
129	1.006339192
130	1.006301731
131	1.006270267
132	1.006240767
133	1.006223839
134	1.006190892
135	1.006167634
136	1.006138197
137	1.006098113
138	1.006076704
139	1.006046518
140	1.006019198
141	1.005992744
142	1.005973475
143	1.005934232
144	1.005915023
145	1.005886063
146	1.005862639
147	1.005838015
148	1.00581584
149	1.005787225
150	1.005763401
151	1.005733155
152	1.005708352
153	1.005676006
154	1.005653203
155	1.005630692
156	1.005609454
157	1.005586896
158	1.005570737
159	1.005544249
160	1.005523314
161	1.005499154
162	1.005473006
163	1.005458301
164	1.005435181
165	1.005410786
166	1.005396197
167	1.005371366
168	1.005348537
169	1.005322165
170	1.005294859
171	1.005269565
172	1.005249892
173	1.00523349
174	1.005210887
175	1.005196521
176	1.005174455
177	1.005159814
178	1.005139826
179	1.005121725
180	1.005096082
181	1.005068576
182	1.005047369
183	1.00503257
184	1.005016931
185	1.004999091
186	1.004984997
187	1.004964415
188	1.004946353
189	1.004923663
190	1.004902731
191	1.004882801
192	1.00487137
193	1.004857743
194	1.004842827
195	1.004831754
196	1.004817299
197	1.004801059
198	1.004786805
199	1.004770849
200	1.004759793
201	1.004739718
202	1.004723507
203	1.004702638
204	1.004686085
205	1.004668613
206	1.004651923
207	1.004630609
208	1.004614496
209	1.004601618
210	1.004593236
211	1.004571395
212	1.004554252
213	1.004535661
214	1.004515444
215	1.004509242
216	1.004496886
217	1.004476633
218	1.004456286
219	1.004442004
220	1.004428382
221	1.004409124
222	1.004391199
223	1.004381958
224	1.004366393
225	1.004350933
226	1.004336152
227	1.004327034
228	1.004310447
229	1.004299829
230	1.004288944
231	1.004277287
232	1.004257844
233	1.004239607
234	1.00422206
235	1.004209553
236	1.004195325
237	1.004185823
238	1.004169518
239	1.004157436
240	1.004131369
241	1.004117371
242	1.00410554
243	1.004093576
244	1.004075527
245	1.004065229
246	1.004047951
247	1.00403223
248	1.004024611
249	1.003994846
250	1.003977746
251	1.003963103
252	1.003947072
253	1.003927132
254	1.003917358
255	1.003905016
256	1.00388402
257	1.003865453
258	1.003849726
259	1.003836006
260	1.003826016
261	1.003816738
262	1.0038079
263	1.003791828
264	1.003779271
265	1.003768115
266	1.003757622
267	1.003734173
268	1.003721698
269	1.003711424
